2026-04-04T13:54:05.894994 [PERF] json_scope story_graph load: 1ms | graph.to_dict: 1ms
2026-04-04T13:54:05.917757 [PERF] json_bot scope.load: 0ms | scope.to_dict: 24ms
2026-04-04T13:54:05.931167 [PERF] scope file read+parse: 0ms | filter: 0ms
2026-04-04T13:54:05.932096 [PERF] json_story_graph StoryMap build: 0ms | serialize epics: 0ms
2026-04-04T13:54:05.932621 [PERF] json_scope story_graph load: 1ms | graph.to_dict: 1ms
2026-04-04T13:54:05.954942 [PERF] json_bot scope.load: 0ms | scope.to_dict: 24ms
2026-04-04T18:09:58.607236 [PERF] scope file read+parse: 0ms | filter: 0ms
2026-04-04T18:10:20.213115 [PERF] scope file read+parse: 0ms | filter: 0ms
2026-04-06T17:45:02.450243 [PERF] scope file read+parse: 15ms | filter: 0ms
2026-04-06T17:45:09.517902 [PERF] scope file read+parse: 0ms | filter: 0ms
2026-04-06T17:45:17.138568 [PERF] scope file read+parse: 0ms | filter: 0ms
2026-04-06T17:45:25.845053 [PERF] scope file read+parse: 0ms | filter: 0ms
